"","week","date","WNU_GBPINR","WNU","start_date","end_date","yearmon","avg_rate","end_of_month","d_avg_rate","d_WNU_GBPINR","d_WNU","lag1_d_WNU_GBPINR","lag2_d_WNU_GBPINR","lag1_d_WNU","lag2_d_WNU"
"1","2013-42","2013-10-14",17,1018,2013-10-14,2013-10-20,Oct 2013,97.7938,0,NA,NA,NA,NA,NA,NA,NA
"2","2013-43","2013-10-21",27,1158,2013-10-21,2013-10-27,Oct 2013,98.8994714285714,0,0.011306150579806,0.588235294117647,0.137524557956778,NA,NA,NA,NA
"3","2013-44","2013-10-28",27,1339,2013-10-28,2013-11-03,Oct 2013,98.5949857142857,1,-0.0030787395512587,0,0.156303972366149,0.588235294117647,NA,0.137524557956778,NA
"4","2013-45","2013-11-04",34,1407,2013-11-04,2013-11-10,Nov 2013,99.8279428571429,0,0.0125052722907235,0.259259259259259,0.0507841672890217,0,0.588235294117647,0.156303972366149,0.137524557956778
"5","2013-46","2013-11-11",31,1324,2013-11-11,2013-11-17,Nov 2013,101.361285714286,0,0.0153598563013275,-0.0882352941176471,-0.0589907604832978,0.259259259259259,0,0.0507841672890217,0.156303972366149
"6","2013-47","2013-11-18",20,1256,2013-11-18,2013-11-24,Nov 2013,100.8903,0,-0.00464660359196034,-0.354838709677419,-0.0513595166163142,-0.0882352941176471,0.259259259259259,-0.0589907604832978,0.0507841672890217
"7","2013-48","2013-11-25",56,1666,2013-11-25,2013-12-01,Nov 2013,101.317428571429,1,0.00423359402666623,1.8,0.326433121019108,-0.354838709677419,-0.0882352941176471,-0.0513595166163142,-0.0589907604832978
"8","2013-49","2013-12-02",46,1692,2013-12-02,2013-12-08,Dec 2013,101.130771428571,0,-0.00184230043625255,-0.178571428571429,0.0156062424969987,1.8,-0.354838709677419,0.326433121019108,-0.0513595166163142
"9","2013-50","2013-12-09",38,1525,2013-12-09,2013-12-15,Dec 2013,100.483671428571,0,-0.00639864593989625,-0.173913043478261,-0.0986997635933806,-0.178571428571429,1.8,0.0156062424969987,0.326433121019108
"10","2013-51","2013-12-16",43,1509,2013-12-16,2013-12-22,Dec 2013,101.089928571429,0,0.00603338964667599,0.131578947368421,-0.0104918032786885,-0.173913043478261,-0.178571428571429,-0.0986997635933806,0.0156062424969987
"11","2013-52","2013-12-23",42,935,2013-12-23,2013-12-29,Dec 2013,101.308571428571,0,0.00216285499685909,-0.0232558139534884,-0.380384360503645,0.131578947368421,-0.173913043478261,-0.0104918032786885,-0.0986997635933806
"12","2014-01","2013-12-30",56,1317,2013-12-30,2014-01-05,Dec 2013,102.109785714286,1,0.00790865249027028,0.333333333333333,0.40855614973262,-0.0232558139534884,0.131578947368421,-0.380384360503645,-0.0104918032786885
"13","2014-02","2014-01-06",64,1711,2014-01-06,2014-01-12,Jan 2014,101.732714285714,0,-0.00369280403375372,0.142857142857143,0.29916476841306,0.333333333333333,-0.0232558139534884,0.40855614973262,-0.380384360503645
"14","2014-03","2014-01-13",34,1647,2014-01-13,2014-01-19,Jan 2014,100.591142857143,0,-0.0112212815374743,-0.46875,-0.0374050263004091,0.142857142857143,0.333333333333333,0.29916476841306,0.40855614973262
"15","2014-04","2014-01-20",63,1911,2014-01-20,2014-01-26,Jan 2014,101.990428571429,0,0.0139106254739838,0.852941176470588,0.160291438979964,-0.46875,0.142857142857143,-0.0374050263004091,0.29916476841306
"16","2014-05","2014-01-27",85,2289,2014-01-27,2014-02-02,Jan 2014,103.496571428571,1,0.0147674921876424,0.349206349206349,0.197802197802198,0.852941176470588,-0.46875,0.160291438979964,-0.0374050263004091
"17","2014-06","2014-02-03",54,2097,2014-02-03,2014-02-09,Feb 2014,101.959285714286,0,-0.0148534941116062,-0.364705882352941,-0.0838794233289646,0.349206349206349,0.852941176470588,0.197802197802198,0.160291438979964
"18","2014-07","2014-02-10",65,2066,2014-02-10,2014-02-16,Feb 2014,102.492642857143,0,0.00523107963262648,0.203703703703704,-0.0147830233667143,-0.364705882352941,0.349206349206349,-0.0838794233289646,0.197802197802198
"19","2014-08","2014-02-17",65,1999,2014-02-17,2014-02-23,Feb 2014,103.320357142857,0,0.00807584098370828,0,-0.0324298160696999,0.203703703703704,-0.364705882352941,-0.0147830233667143,-0.0838794233289646
"20","2014-09","2014-02-24",83,2537,2014-02-24,2014-03-02,Feb 2014,103.1525,1,-0.00162462797747642,0.276923076923077,0.269134567283642,0,0.203703703703704,-0.0324298160696999,-0.0147830233667143
"21","2014-10","2014-03-03",84,2388,2014-03-03,2014-03-09,Mar 2014,102.812214285714,0,-0.00329886056358997,0.0120481927710843,-0.058730784391013,0.276923076923077,0,0.269134567283642,-0.0324298160696999
"22","2014-11","2014-03-10",52,2244,2014-03-10,2014-03-16,Mar 2014,101.795785714286,0,-0.00988626281896754,-0.380952380952381,-0.0603015075376885,0.0120481927710843,0.276923076923077,-0.058730784391013,0.269134567283642
"23","2014-12","2014-03-17",61,2187,2014-03-17,2014-03-23,Mar 2014,101.385785714286,0,-0.00402767164792817,0.173076923076923,-0.0254010695187166,-0.380952380952381,0.0120481927710843,-0.0603015075376885,-0.058730784391013
