week,date,WNU_GBPINR
NULL,NULL,0
2013-41,2013-10-09,6
2013-42,2013-10-14,17
2013-43,2013-10-21,27
2013-44,2013-10-28,27
2013-45,2013-11-04,34
2013-46,2013-11-11,31
2013-47,2013-11-18,20
2013-48,2013-11-25,56
2013-49,2013-12-02,46
2013-50,2013-12-09,38
2013-51,2013-12-16,43
2013-52,2013-12-23,42
2014-01,2013-12-30,56
2014-02,2014-01-06,64
2014-03,2014-01-13,34
2014-04,2014-01-20,63
2014-05,2014-01-27,85
2014-06,2014-02-03,54
2014-07,2014-02-10,65
2014-08,2014-02-17,65
2014-09,2014-02-24,83
2014-10,2014-03-03,84
2014-11,2014-03-10,52
2014-12,2014-03-17,61
2014-13,2014-03-24,74
2014-14,2014-03-31,100
2014-15,2014-04-07,135
2014-16,2014-04-14,96
2014-17,2014-04-21,133
2014-18,2014-04-28,151
2014-19,2014-05-05,143
2014-20,2014-05-12,111
2014-21,2014-05-19,92
2014-22,2014-05-26,141
2014-23,2014-06-02,172
2014-24,2014-06-09,201
2014-25,2014-06-16,233
2014-26,2014-06-23,160
2014-27,2014-06-30,275
2014-28,2014-07-07,159
2014-29,2014-07-14,142
2014-30,2014-07-21,126
2014-31,2014-07-28,227
2014-32,2014-08-04,248
2014-33,2014-08-11,106
2014-34,2014-08-18,92
2014-35,2014-08-25,183
2014-36,2014-09-01,198
2014-37,2014-09-08,176
2014-38,2014-09-15,175
2014-39,2014-09-22,211
2014-40,2014-09-29,285
2014-41,2014-10-06,182
2014-42,2014-10-13,216
2014-43,2014-10-20,220
2014-44,2014-10-27,479
2014-45,2014-11-03,433
2014-46,2014-11-10,341
2014-47,2014-11-17,395
2014-48,2014-11-24,667
2014-49,2014-12-01,659
2014-50,2014-12-08,736
2014-51,2014-12-15,1095
2014-52,2014-12-22,637
2015-01,2014-12-29,512
2015-02,2015-01-05,356
2015-03,2015-01-12,308
2015-04,2015-01-19,429
2015-05,2015-01-26,914
2015-06,2015-02-02,536
2015-07,2015-02-09,504
2015-08,2015-02-16,433
2015-09,2015-02-23,562
2015-10,2015-03-02,593
2015-11,2015-03-09,364
2015-12,2015-03-16,324
2015-13,2015-03-23,465
2015-14,2015-03-30,439
2015-15,2015-04-06,472
2015-16,2015-04-13,571
2015-17,2015-04-20,1026
2015-18,2015-04-27,1237
2015-19,2015-05-04,1203
2015-20,2015-05-11,1704
2015-21,2015-05-18,435
2015-22,2015-05-25,479
2015-23,2015-06-01,554
2015-24,2015-06-08,758
2015-25,2015-06-15,1366
2015-26,2015-06-22,526
2015-27,2015-06-29,622
2015-28,2015-07-06,365
2015-29,2015-07-13,401
2015-30,2015-07-20,448
2015-31,2015-07-27,936
2015-32,2015-08-03,476
2015-33,2015-08-10,1541
2015-34,2015-08-17,697
