week,date,WNU
NULL,NULL,0
2010-21,2010-05-24,3
2010-22,2010-05-31,3
2010-25,2010-06-22,2
2010-27,2010-07-09,1
2010-29,2010-07-19,1
2010-31,2010-08-02,1
2010-33,2010-08-19,1
2010-45,2010-11-09,1
2010-48,2010-12-04,1
2011-01,2011-01-04,2
2011-03,2011-01-23,1
2011-04,2011-01-24,23
2011-05,2011-01-31,27
2011-06,2011-02-07,9
2011-07,2011-02-14,24
2011-08,2011-02-21,39
2011-09,2011-02-28,14
2011-10,2011-03-07,16
2011-11,2011-03-14,11
2011-12,2011-03-21,7
2011-13,2011-03-28,14
2011-14,2011-04-04,12
2011-15,2011-04-11,13
2011-16,2011-04-18,6
2011-17,2011-04-26,7
2011-18,2011-05-02,9
2011-19,2011-05-09,6
2011-20,2011-05-16,18
2011-21,2011-05-23,14
2011-22,2011-05-30,15
2011-23,2011-06-06,20
2011-24,2011-06-14,10
2011-25,2011-06-20,14
2011-26,2011-06-27,13
2011-27,2011-07-04,11
2011-28,2011-07-11,11
2011-29,2011-07-18,13
2011-30,2011-07-26,10
2011-31,2011-08-01,14
2011-32,2011-08-08,12
2011-33,2011-08-15,15
2011-34,2011-08-22,15
2011-35,2011-08-29,20
2011-36,2011-09-05,31
2011-37,2011-09-12,20
2011-38,2011-09-19,24
2011-39,2011-09-26,17
2011-40,2011-10-03,26
2011-41,2011-10-10,16
2011-42,2011-10-17,14
2011-43,2011-10-24,18
2011-44,2011-10-31,16
2011-45,2011-11-07,21
2011-46,2011-11-14,16
2011-47,2011-11-21,14
2011-48,2011-11-28,20
2011-49,2011-12-05,25
2011-50,2011-12-12,27
2011-51,2011-12-19,15
2011-52,2011-12-26,9
2012-01,2012-01-02,14
2012-02,2012-01-09,19
2012-03,2012-01-16,16
2012-04,2012-01-23,13
2012-05,2012-01-30,29
2012-06,2012-02-06,15
2012-07,2012-02-13,19
2012-08,2012-02-20,27
2012-09,2012-02-27,31
2012-10,2012-03-05,22
2012-11,2012-03-12,20
2012-12,2012-03-19,29
2012-13,2012-03-26,26
2012-14,2012-04-02,28
2012-15,2012-04-09,18
2012-16,2012-04-16,32
2012-17,2012-04-23,34
2012-18,2012-04-30,48
2012-19,2012-05-07,39
2012-20,2012-05-14,51
2012-21,2012-05-21,36
2012-22,2012-05-28,57
2012-23,2012-06-04,47
2012-24,2012-06-11,50
2012-25,2012-06-18,38
2012-26,2012-06-25,60
2012-27,2012-07-02,59
2012-28,2012-07-09,65
2012-29,2012-07-16,69
2012-30,2012-07-23,76
